IBOV - Carteira do Dia 29/04/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,438;
ALPA4;ALPARGATAS;PN      N1;225.463.777;0,221;
ABEV3;AMBEV S/A;ON;4.359.908.680;3,125;
AMER3;AMERICANAS;ON      NM;571.352.399;0,702;
ASAI3;ASSAI;ON  ED  NM;794.310.097;0,596;
AZUL4;AZUL;PN      N2;327.741.172;0,355;
B3SA3;B3;ON      NM;6.065.856.318;4,014;
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,460;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,164;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,847;
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,382;
BBDC3;BRADESCO;ON  EB  N1;1.516.726.535;1,110;
BBDC4;BRADESCO;PN  EB  N1;5.160.570.290;4,581;
BRAP4;BRADESPAR;PN      N1;251.414.753;0,367;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,354;
BRKM5;BRASKEM;PNA ED  N1;264.642.296;0,525;
BRFS3;BRF SA;ON      NM;1.081.759.800;0,737;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,530;
CRFB3;CARREFOUR BR;ON  ED  NM;410.988.561;0,420;
CCRO3;CCR SA;ON  ED  NM;1.115.693.556;0,711;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,833;
CIEL3;CIELO;ON      NM;1.144.359.228;0,201;
COGN3;COGNA ON;ON      NM;1.828.106.676;0,228;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,580;
CSAN3;COSAN;ON      NM;1.169.237.744;1,216;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,333;
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,284;
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,146;
CYRE3;CYRELA REALT;ON  ED  NM;281.609.283;0,201;
DXCO3;DEXCO;ON      NM;295.712.871;0,182;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,120;
